asn,prefix,as_path
401493,1.2.3.0/24,"(401493, 16509, 2152, 25)"
401305,1.2.3.0/24,"(401305, 16509, 2152, 25)"
209975,1.2.3.0/24,"(209975, 16509, 2152, 25)"
208681,1.2.3.0/24,"(208681, 16509, 2152, 25)"
205059,1.2.3.0/24,"(205059, 16509, 2152, 25)"
205023,1.2.3.0/24,"(205023, 16509, 2152, 25)"
198812,1.2.3.0/24,"(198812, 16509, 2152, 25)"
197014,1.2.3.0/24,"(197014, 16509, 2152, 25)"
153661,1.2.3.0/24,"(153661, 16509, 2152, 25)"
152744,1.2.3.0/24,"(152744, 16509, 2152, 25)"
152668,1.2.3.0/24,"(152668, 16509, 2152, 25)"
63046,1.2.3.0/24,"(63046, 16509, 2152, 25)"
60044,1.2.3.0/24,"(60044, 16509, 2152, 25)"
44196,1.2.3.0/24,"(44196, 16509, 2152, 25)"
43090,1.2.3.0/24,"(43090, 16509, 2152, 25)"
22348,1.2.3.0/24,"(22348, 16509, 2152, 25)"
21664,1.2.3.0/24,"(21664, 16509, 2152, 25)"
21239,1.2.3.0/24,"(21239, 16509, 2152, 25)"
19198,1.2.3.0/24,"(19198, 16509, 2152, 25)"
16238,1.2.3.0/24,"(16238, 16509, 2152, 25)"
393960,1.2.3.0/24,"(393960, 199524, 2152, 25)"
401846,1.2.3.0/24,"(401846, 16276, 2152, 25)"
401178,1.2.3.0/24,"(401178, 16276, 2152, 25)"
401004,1.2.3.0/24,"(401004, 16276, 2152, 25)"
400987,1.2.3.0/24,"(400987, 16276, 2152, 25)"
400912,1.2.3.0/24,"(400912, 16276, 2152, 25)"
399605,1.2.3.0/24,"(399605, 16276, 2152, 25)"
399603,1.2.3.0/24,"(399603, 16276, 2152, 25)"
399464,1.2.3.0/24,"(399464, 16276, 2152, 25)"
399304,1.2.3.0/24,"(399304, 16276, 2152, 25)"
215311,1.2.3.0/24,"(215311, 16276, 2152, 25)"
215117,1.2.3.0/24,"(215117, 16276, 2152, 25)"
215039,1.2.3.0/24,"(215039, 16276, 2152, 25)"
214851,1.2.3.0/24,"(214851, 16276, 2152, 25)"
214498,1.2.3.0/24,"(214498, 16276, 2152, 25)"
214346,1.2.3.0/24,"(214346, 16276, 2152, 25)"
213888,1.2.3.0/24,"(213888, 16276, 2152, 25)"
42969,1.2.3.0/24,"(42969, 21859, 2152, 25)"
213427,1.2.3.0/24,"(213427, 16276, 2152, 25)"
213412,1.2.3.0/24,"(213412, 16276, 2152, 25)"
211377,1.2.3.0/24,"(211377, 16276, 2152, 25)"
210814,1.2.3.0/24,"(210814, 16276, 2152, 25)"
210734,1.2.3.0/24,"(210734, 16276, 2152, 25)"
209003,1.2.3.0/24,"(209003, 16276, 2152, 25)"
208796,1.2.3.0/24,"(208796, 16276, 2152, 25)"
207536,1.2.3.0/24,"(207536, 16276, 2152, 25)"
207043,1.2.3.0/24,"(207043, 16276, 2152, 25)"
206373,1.2.3.0/24,"(206373, 16276, 2152, 25)"
206275,1.2.3.0/24,"(206275, 16276, 2152, 25)"
204487,1.2.3.0/24,"(204487, 16276, 2152, 25)"
203728,1.2.3.0/24,"(203728, 16276, 2152, 25)"
202172,1.2.3.0/24,"(202172, 16276, 2152, 25)"
201693,1.2.3.0/24,"(201693, 16276, 2152, 25)"
201103,1.2.3.0/24,"(201103, 16276, 2152, 25)"
198119,1.2.3.0/24,"(198119, 16276, 2152, 25)"
197561,1.2.3.0/24,"(197561, 16276, 2152, 25)"
64476,1.2.3.0/24,"(64476, 16276, 2152, 25)"
62098,1.2.3.0/24,"(62098, 16276, 2152, 25)"
61120,1.2.3.0/24,"(61120, 16276, 2152, 25)"
58052,1.2.3.0/24,"(58052, 16276, 2152, 25)"
57935,1.2.3.0/24,"(57935, 16276, 2152, 25)"
57878,1.2.3.0/24,"(57878, 16276, 2152, 25)"
52221,1.2.3.0/24,"(52221, 16276, 2152, 25)"
51078,1.2.3.0/24,"(51078, 16276, 2152, 25)"
48136,1.2.3.0/24,"(48136, 16276, 2152, 25)"
47392,1.2.3.0/24,"(47392, 16276, 2152, 25)"
47062,1.2.3.0/24,"(47062, 16276, 2152, 25)"
46998,1.2.3.0/24,"(46998, 16276, 2152, 25)"
44001,1.2.3.0/24,"(44001, 16276, 2152, 25)"
40442,1.2.3.0/24,"(40442, 16276, 2152, 25)"
40279,1.2.3.0/24,"(40279, 16276, 2152, 25)"
35540,1.2.3.0/24,"(35540, 16276, 2152, 25)"
